review_id,product_id,customer_id,rating,review_date,review_text
225,p-017,c-182,,2025-09-20,
226,p-014,c-114,4,2025-10-09,"No major complaints."
227,p-001,c-231,5,2025-11-05,"Absolutely love it!"
228,p-011,c-157,3,2025-09-08,"Meh."
229,p-008,c-206,2,2025-10-16,"Disappointed."
230,p-020,c-126,5,2025-10-05,"Perfect!"
231,p-007,c-178,4,2025-11-13,"Good value for money."
232,p-016,c-229,1,2025-09-16,"Do not buy."
233,p-003,c-154,5,2025-10-07,"Couldn't be happier!"
234,p-010,c-193,4,2025-10-31,"Works well."
235,p-004,c-117,3,2025-09-04,"It's fine."
236,p-019,c-219,5,2025-10-26,"5 stars! Highly recommend."
237,p-009,c-170,2,2025-11-07,"Not what I expected."
238,p-012,c-133,4,2025-09-23,"Pretty good."
239,p-006,c-239,1,2025-10-12,"Complete waste of money."
240,p-013,c-105,5,2025-11-02,"Amazing quality."
241,p-015,c-204,3,2025-09-10,"Could be better."
242,p-005,c-166,4,2025-10-21,"Solid purchase."
243,p-018,c-142,5,2025-10-03,"Excellent product!"
244,p-002,c-226,1,2025-11-09,"Awful experience."
245,p-017,c-189,5,2025-09-26,"Absolutely love it!"
246,p-014,c-123,4,2025-10-19,"Mostly satisfied."
247,p-001,c-235,5,2025-09-02,"Perfect!"
248,p-011,c-150,3,2025-11-14,"Average."
249,p-008,c-215,2,2025-09-14,"Poor quality."
250,p-020,c-181,5,2025-10-28,"5 stars! Highly recommend."
251,p-007,c-112,4,2025-10-15,"Good value for money."
252,p-016,c-232,1,2025-09-24,"Terrible!"
253,p-003,c-160,5,2025-11-04,"Couldn't be happier!"
254,p-010,c-201,4,2025-09-18,"Works well."
255,p-004,c-101,,2025-10-10,
256,p-019,c-224,5,2025-11-12,"Amazing quality."
257,p-009,c-145,2,2025-09-01,"Broke after a few uses."
258,p-012,c-198,4,2025-10-25,"No major complaints."
259,p-006,c-129,1,2025-09-30,"Do not buy."
260,p-013,c-211,5,2025-11-08,"Excellent product!"
261,p-015,c-176,3,2025-09-06,"It's okay."
262,p-005,c-137,4,2025-10-08,"Solid purchase."
auto_comment
263,p-018,c-230,5,2025-10-22,"Absolutely love it!"
264,p-002,c-158,1,2025-09-12,"Hate it."
265,p-017,c-191,4,2025-11-03,"Pretty good."
266,p-014,c-108,5,2025-10-01,"Perfect!"
267,p-001,c-209,5,2025-10-17,"5 stars! Highly recommend."
268,p-011,c-148,3,2025-09-27,"Meh. It's fine."
269,p-008,c-115,2,2025-11-10,"Disappointed with this."
270,p-020,c-237,5,2025-09-19,"Amazing quality."
271,p-007,c-185,4,2025-10-13,"Good value for money."
272,p-016,c-103,1,2025-11-01,"Complete waste of money."
273,p-003,c-214,5,2025-09-22,"Couldn't be happier!"
274,p-010,c-162,4,2025-10-29,"Works well."
275,p-004,c-127,3,2025-09-09,"It's average."
276,p-019,c-179,5,2025-11-06,"Excellent product!"
277,p-009,c-141,,2025-10-04,
278,p-012,c-207,4,2025-10-20,"Mostly satisfied."
279,p-006,c-119,1,2025-09-05,"Awful experience."
280,p-013,c-171,5,2025-11-13,"Perfect!"
281,p-015,c-135,3,2025-10-07,"Could be better."
282,p-005,c-196,4,2025-09-15,"Solid purchase."
283,p-018,c-106,5,2025-10-31,"Absolutely love it!"
284,p-002,c-164,1,2025-09-17,"Terrible!"
285,p-017,c-225,4,2025-11-09,"No major complaints."
286,p-014,c-122,5,2025-10-02,"5 stars! Highly recommend."
287,p-001,c-183,5,2025-10-24,"Amazing quality."
288,p-011,c-102,3,2025-09-11,"It's okay."
289,p-008,c-144,2,2025-10-27,"Poor quality."
290,p-020,c-228,5,2025-09-03,"Excellent product!"
291,p-007,c-110,4,2025-10-18,"Good value for money."
292,p-016,c-169,1,2025-11-05,"Broke immediately."
293,p-003,c-192,5,2025-09-29,"Perfect!"
294,p-010,c-151,4,2025-10-16,"Works well."
295,p-004,c-125,3,2025-09-08,"Meh."
296,p-019,c-205,5,2025-11-07,"Couldn't be happier!"
297,p-009,c-131,2,2025-10-11,"Wouldn't buy again."
298,p-012,c-187,4,2025-09-25,"Pretty good."
299,p-006,c-149,1,2025-10-23,"Do not buy."
300,p-013,c-222,5,2025-09-13,"Amazing quality."
301,p-015,c-167,3,2025-11-04,"It's fine."
302,p-005,c-113,4,2025-10-09,"Solid purchase."
303,p-018,c-174,5,2025-09-21,"Excellent product!"
304,p-002,c-130,1,2025-11-14,"Awful experience."
305,p-017,c-216,5,2025-10-06,"5 stars! Highly recommend."
